,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
5688,370800,Fields of Battle,2017-09-01,2,0,0,0,1,0,0,0,0.0,10000.0,0.0,87,0.7011494252873564,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5709,371370,Advent,2015-05-15,4,0,1,0,0,0,0,0,0.0,10000.0,0.0,22,0.6363636363636364,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5756,372670,Eternal Realm,2015-05-18,4,0,1,0,0,0,0,0,0.0,10000.0,0.0,16,0.375,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5804,373970,Letter Quest: Grimm's Journey Remastered,2015-08-05,4,0,0,1,0,60,0,0,0.0,75000.0,0.0,294,0.9183673469387755,8,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5899,376560,Big Fish Legend,2015-07-20,4,0,0,1,0,12,0,0,0.0,10000.0,0.0,101,0.8415841584158416,4,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6207,385590,Lethal RPG: War,2015-07-17,4,0,0,1,0,9,0,0,0.0,35000.0,0.0,177,0.7909604519774012,4,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6220,385850,Life in the Dorms,2018-08-01,1,0,0,1,0,0,0,0,0.0,10000.0,0.0,5,1.0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6413,391210,Arclight Cascade,2015-08-25,4,0,0,1,0,23,0,0,0.0,10000.0,0.0,30,0.8333333333333334,7,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6520,394140,Sound Shift,2015-08-26,4,0,0,1,0,1,0,0,0.0,35000.0,0.0,106,0.8207547169811321,4,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6542,394720,The Legend of Tango,2015-09-11,4,0,0,0,1,0,0,0,0.0,35000.0,0.0,20,0.45,8,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6585,396060,The Rose and I,2016-04-05,3,0,1,0,0,0,0,0,0.0,75000.0,0.0,160,0.8875,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6632,397360,Magician's Apprentice,2015-11-09,4,0,0,0,1,0,0,0,0.0,10000.0,0.0,11,0.36363636363636365,4,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6646,397720,Romance of the Three Kingdoms Maker / 三国志ツクール,2015-12-09,4,1,0,0,0,0,1,1,0.0,75000.0,0.0,167,0.6107784431137725,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6660,397870,Arcane Sorcery,2015-09-15,4,0,0,0,1,0,0,0,0.0,35000.0,0.0,46,0.5652173913043478,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6667,397990,Woof Blaster,2015-09-22,4,0,0,0,1,14,0,0,0.0,35000.0,0.0,109,0.8715596330275229,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6739,400230,StarForce 2193: The Hotep® Controversy,2016-08-16,3,0,0,1,0,0,0,0,0.0,10000.0,0.0,4,0.5,3,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6776,401550,Legena: Union Tides,2015-10-08,4,0,0,0,1,16,0,0,0.0,10000.0,0.0,11,1.0,7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
6866,404070,Lords of New York,2017-01-19,2,1,0,0,0,0,0,0,0.0,10000.0,0.0,33,0.5757575757575758,11,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
6912,405480,Tomorrow,2017-02-08,2,1,0,0,0,0,0,0,0.0,10000.0,0.0,26,0.5769230769230769,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7093,410970,Master of Orion 1,2016-02-25,3,1,0,0,0,0,333,333,0.0,75000.0,0.0,84,0.8809523809523809,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7094,410980,Master of Orion 2,2016-02-25,3,1,0,0,0,0,54,54,0.0,75000.0,0.0,363,0.9641873278236914,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7095,410990,Master of Orion 3,2016-08-25,3,0,0,1,0,0,0,0,0.0,150000.0,0.0,60,0.43333333333333335,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7125,411820,The FOO Show featuring Will Smith,2016-04-05,3,0,1,0,0,0,0,0,0.0,75000.0,0.0,141,0.9219858156028369,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7144,412360,SightLineVR,2017-10-31,2,0,0,0,1,0,0,0,0.0,10000.0,0.0,18,0.8333333333333334,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7311,417060,UnSummoning: the Spectral Horde,2015-12-21,4,1,0,0,0,11,0,0,0.0,10000.0,0.0,21,0.7142857142857143,3,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7329,417920,Mistfal,2016-07-07,3,0,0,1,0,0,0,0,0.0,10000.0,0.0,54,0.48148148148148145,11,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
7348,418280,Retaliation,2015-12-18,4,1,0,0,0,0,0,0,0.0,35000.0,0.0,88,0.2840909090909091,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
