,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
14784,643590,Everyday Golf VR,2017-07-12,2,0,0,1,0,24,0,0,22.99,10000.0,229899.99999999997,30,0.6,7,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14785,643600,Quadrant M4,2017-05-29,2,0,1,0,0,5000,0,0,0.79,35000.0,27650.0,164,0.2621951219512195,4,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14786,643610,Mortal Blitz,2017-07-19,2,0,0,1,0,36,0,0,14.99,10000.0,149900.0,45,0.8,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14787,643620,Night Trap - 25th Anniversary Edition,2017-08-15,2,0,0,1,0,30,0,0,10.99,10000.0,109900.0,88,0.7954545454545454,8,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14788,643700,Super Sports Surgery,2017-06-22,2,0,0,1,0,40,0,0,3.99,10000.0,39900.0,42,0.7619047619047619,6,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14789,643810,Fugl,2017-09-14,2,0,0,0,1,0,0,0,6.99,10000.0,69900.0,228,0.8508771929824561,16,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
14790,643820,ShadowSide,2018-08-17,1,0,0,1,0,34,0,0,7.19,10000.0,71900.0,137,0.656934306569343,8,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14791,643830,Botlike - a robot's rampage,2017-09-14,2,0,0,0,1,0,0,0,6.99,10000.0,69900.0,57,0.9122807017543859,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14792,643870,Kitten Adventures in City Park,2017-09-08,2,0,0,0,1,4,0,0,0.0,10000.0,0.0,332,0.9216867469879518,15,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
14793,643880,Strikey Sisters,2017-06-01,2,0,0,1,0,10,762,762,9.99,35000.0,349650.0,440,0.9363636363636364,20,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
14794,643900,Alvora Tactics,2017-06-01,2,0,0,1,0,15,0,0,6.99,10000.0,69900.0,47,0.8936170212765957,7,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
